ID,Logic_Base,Leverage,Risk_Per_Trade,Take_Profit,Total_Trades,WinRate,Net_Profit,ROI,MaxDD,Sharpe,Profit_Factor
121,Volatility_Crusher,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
122,Volatility_Crusher,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
123,Volatility_Crusher,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
124,Volatility_Crusher,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
125,Volatility_Crusher,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
126,Volatility_Crusher,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
127,Volatility_Crusher,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
128,Volatility_Crusher,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
129,Volatility_Crusher,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
130,Volatility_Crusher,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
131,Volatility_Crusher,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
132,Volatility_Crusher,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
133,Volatility_Crusher,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
134,Volatility_Crusher,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
135,Volatility_Crusher,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
136,SMC_Institutional,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
137,SMC_Institutional,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
138,SMC_Institutional,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
139,SMC_Institutional,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
140,SMC_Institutional,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
141,SMC_Institutional,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
142,SMC_Institutional,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
143,SMC_Institutional,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
144,SMC_Institutional,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
145,SMC_Institutional,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
146,SMC_Institutional,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
147,SMC_Institutional,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
148,SMC_Institutional,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
149,SMC_Institutional,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
150,SMC_Institutional,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
151,SMC_Institutional,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
152,SMC_Institutional,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
153,SMC_Institutional,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
154,SMC_Institutional,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
155,SMC_Institutional,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
156,SMC_Institutional,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
157,SMC_Institutional,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
158,SMC_Institutional,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
159,SMC_Institutional,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
160,SMC_Institutional,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
161,SMC_Institutional,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
162,SMC_Institutional,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
163,Grid_Aggressive,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
164,Grid_Aggressive,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
165,Grid_Aggressive,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
166,Grid_Aggressive,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
167,Grid_Aggressive,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
168,Grid_Aggressive,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
169,Grid_Aggressive,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
170,Grid_Aggressive,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
171,Grid_Aggressive,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
172,Grid_Aggressive,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
173,Grid_Aggressive,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
174,Grid_Aggressive,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
175,Grid_Aggressive,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
176,Grid_Aggressive,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
177,Grid_Aggressive,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
178,Grid_Aggressive,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
179,Grid_Aggressive,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
180,Grid_Aggressive,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
181,Grid_Aggressive,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
182,Grid_Aggressive,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
183,Grid_Aggressive,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
184,Grid_Aggressive,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
185,Grid_Aggressive,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
186,Grid_Aggressive,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
187,Grid_Aggressive,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
188,Grid_Aggressive,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
189,Grid_Aggressive,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
190,KillZone_Scalper,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
191,KillZone_Scalper,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
192,KillZone_Scalper,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
193,KillZone_Scalper,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
194,KillZone_Scalper,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
195,KillZone_Scalper,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
196,KillZone_Scalper,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
197,KillZone_Scalper,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
198,KillZone_Scalper,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
199,KillZone_Scalper,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
200,KillZone_Scalper,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
201,KillZone_Scalper,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
202,KillZone_Scalper,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
203,KillZone_Scalper,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
204,KillZone_Scalper,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
205,KillZone_Scalper,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
206,KillZone_Scalper,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
207,KillZone_Scalper,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
208,KillZone_Scalper,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
209,KillZone_Scalper,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
210,KillZone_Scalper,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
211,KillZone_Scalper,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
212,KillZone_Scalper,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
213,KillZone_Scalper,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
214,KillZone_Scalper,100,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
215,KillZone_Scalper,100,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
216,KillZone_Scalper,100,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
217,Trend_Sniper,25,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
218,Trend_Sniper,25,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
219,Trend_Sniper,25,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
220,Trend_Sniper,25,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
221,Trend_Sniper,25,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
222,Trend_Sniper,25,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
223,Trend_Sniper,25,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
224,Trend_Sniper,25,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
225,Trend_Sniper,25,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
226,Trend_Sniper,50,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
227,Trend_Sniper,50,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
228,Trend_Sniper,50,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
229,Trend_Sniper,50,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
230,Trend_Sniper,50,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
231,Trend_Sniper,50,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
232,Trend_Sniper,50,0.1,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
233,Trend_Sniper,50,0.1,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
234,Trend_Sniper,50,0.1,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
235,Trend_Sniper,100,0.01,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
236,Trend_Sniper,100,0.01,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
237,Trend_Sniper,100,0.01,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
238,Trend_Sniper,100,0.05,2.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
239,Trend_Sniper,100,0.05,5.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
240,Trend_Sniper,100,0.05,10.0,2462,22.50%,-419.22$,-83.84%,-80.67%,-47.16911015138814,0
