BOT_ID,UMBRAL_USD,TRADES,ROI_FINAL,EQUITY
BTC_RIGOR_151,307,26,-25.66,371.69
BTC_RIGOR_150,305,27,-38.53,307.36
BTC_RIGOR_192,389,10,-42.68,286.6
BTC_RIGOR_186,377,10,-42.68,286.6
BTC_RIGOR_187,379,10,-42.68,286.6
BTC_RIGOR_188,381,10,-42.68,286.6
BTC_RIGOR_190,385,10,-42.68,286.6
BTC_RIGOR_189,383,10,-42.68,286.6
BTC_RIGOR_193,391,10,-42.68,286.6
BTC_RIGOR_194,393,10,-42.68,286.6
BTC_RIGOR_195,395,10,-42.68,286.6
BTC_RIGOR_196,397,10,-42.68,286.6
BTC_RIGOR_197,399,10,-42.68,286.6
BTC_RIGOR_191,387,10,-42.68,286.6
BTC_RIGOR_198,401,9,-43.66,281.72
BTC_RIGOR_152,309,26,-44.53,277.37
BTC_RIGOR_148,301,30,-50.92,245.41
BTC_RIGOR_149,303,28,-54.83,225.86
BTC_RIGOR_199,403,8,-60.55,197.23
BTC_RIGOR_153,311,26,-65.29,173.55
BTC_RIGOR_146,297,31,-65.35,173.23
BTC_RIGOR_147,299,31,-65.35,173.23
BTC_RIGOR_178,361,13,-73.42,132.9
BTC_RIGOR_183,371,12,-76.91,115.45
BTC_RIGOR_180,365,12,-76.91,115.45
BTC_RIGOR_181,367,12,-76.91,115.45
BTC_RIGOR_182,369,12,-76.91,115.45
BTC_RIGOR_184,373,12,-76.91,115.45
BTC_RIGOR_185,375,12,-76.91,115.45
BTC_RIGOR_176,357,14,-78.08,109.62
BTC_RIGOR_177,359,14,-78.08,109.62
BTC_RIGOR_163,331,21,-79.83,100.83
BTC_RIGOR_157,319,23,-80.36,98.21
BTC_RIGOR_162,329,22,-80.79,96.04
BTC_RIGOR_179,363,13,-80.82,95.88
BTC_RIGOR_154,313,25,-81.35,93.27
BTC_RIGOR_175,355,15,-81.52,92.4
BTC_RIGOR_174,353,15,-81.52,92.4
BTC_RIGOR_145,295,32,-82.34,88.3
BTC_RIGOR_164,333,21,-82.5,87.51
BTC_RIGOR_166,337,18,-82.74,86.31
BTC_RIGOR_155,315,25,-84.23,78.87
BTC_RIGOR_161,327,22,-84.63,76.83
BTC_RIGOR_156,317,25,-86.61,66.97
BTC_RIGOR_160,325,23,-86.79,66.05
BTC_RIGOR_159,323,23,-86.79,66.05
BTC_RIGOR_165,335,18,-86.89,65.53
BTC_RIGOR_158,321,23,-87.19,64.07
BTC_RIGOR_144,293,33,-89.94,50.31
BTC_RIGOR_143,291,33,-92.35,38.23
BTC_RIGOR_171,347,16,-93.48,32.6
BTC_RIGOR_172,349,16,-93.48,32.6
BTC_RIGOR_173,351,16,-93.48,32.6
BTC_RIGOR_167,339,18,-95.36,23.18
BTC_RIGOR_169,343,18,-95.82,20.9
BTC_RIGOR_168,341,18,-95.82,20.9
BTC_RIGOR_142,289,35,-96.31,18.43
BTC_RIGOR_141,287,35,-96.31,18.43
BTC_RIGOR_139,283,38,-96.9,15.48
BTC_RIGOR_170,345,17,-97.14,14.31
BTC_RIGOR_140,285,37,-97.22,13.9
BTC_RIGOR_135,275,45,-97.62,11.9
BTC_RIGOR_136,277,45,-97.62,11.9
BTC_RIGOR_138,281,41,-97.64,11.8
BTC_RIGOR_137,279,43,-98.16,9.18
BTC_RIGOR_131,267,51,-98.64,6.79
BTC_RIGOR_130,265,51,-98.64,6.79
BTC_RIGOR_132,269,49,-98.67,6.67
BTC_RIGOR_134,273,48,-98.73,6.33
BTC_RIGOR_129,263,55,-98.82,5.88
BTC_RIGOR_133,271,49,-98.97,5.13
BTC_RIGOR_127,259,58,-99.12,4.4
BTC_RIGOR_128,261,57,-99.17,4.13
BTC_RIGOR_126,257,59,-99.38,3.09
BTC_RIGOR_125,255,62,-99.38,3.09
BTC_RIGOR_124,253,63,-99.39,3.05
BTC_RIGOR_123,251,66,-99.54,2.29
BTC_RIGOR_118,241,75,-99.61,1.96
BTC_RIGOR_119,243,71,-99.65,1.74
BTC_RIGOR_115,235,81,-99.65,1.77
BTC_RIGOR_116,237,79,-99.68,1.61
BTC_RIGOR_120,245,70,-99.69,1.55
BTC_RIGOR_121,247,70,-99.7,1.51
BTC_RIGOR_122,249,67,-99.72,1.42
BTC_RIGOR_117,239,77,-99.77,1.13
BTC_RIGOR_114,233,84,-99.77,1.16
BTC_RIGOR_103,211,111,-99.8,0.98
BTC_RIGOR_112,229,91,-99.81,0.93
BTC_RIGOR_105,215,105,-99.89,0.54
BTC_RIGOR_104,213,107,-99.89,0.54
BTC_RIGOR_102,209,114,-99.9,0.52
BTC_RIGOR_107,219,100,-99.91,0.46
BTC_RIGOR_100,205,122,-99.92,0.39
BTC_RIGOR_093,191,142,-99.93,0.33
BTC_RIGOR_101,207,116,-99.93,0.34
BTC_RIGOR_094,193,137,-99.93,0.33
BTC_RIGOR_111,227,96,-99.93,0.33
BTC_RIGOR_092,189,142,-99.93,0.33
BTC_RIGOR_110,225,99,-99.94,0.3
BTC_RIGOR_109,223,99,-99.94,0.3
BTC_RIGOR_106,217,101,-99.94,0.31
BTC_RIGOR_095,195,136,-99.94,0.29
BTC_RIGOR_099,203,125,-99.94,0.29
BTC_RIGOR_108,221,100,-99.95,0.27
BTC_RIGOR_113,231,89,-99.95,0.27
BTC_RIGOR_097,199,131,-99.97,0.16
BTC_RIGOR_098,201,130,-99.97,0.14
BTC_RIGOR_096,197,134,-99.97,0.13
BTC_RIGOR_091,187,146,-99.98,0.08
BTC_RIGOR_090,185,152,-99.99,0.05
BTC_RIGOR_029,63,1853,-100.0,0.0
BTC_RIGOR_032,69,1627,-100.0,0.0
BTC_RIGOR_031,67,1716,-100.0,0.0
BTC_RIGOR_030,65,1795,-100.0,0.0
BTC_RIGOR_025,55,2270,-100.0,0.0
BTC_RIGOR_028,61,1953,-100.0,0.0
BTC_RIGOR_027,59,2056,-100.0,0.0
BTC_RIGOR_034,73,1471,-100.0,0.0
BTC_RIGOR_026,57,2163,-100.0,0.0
BTC_RIGOR_033,71,1544,-100.0,0.0
BTC_RIGOR_040,85,1119,-100.0,0.0
BTC_RIGOR_035,75,1406,-100.0,0.0
BTC_RIGOR_036,77,1349,-100.0,0.0
BTC_RIGOR_037,79,1292,-100.0,0.0
BTC_RIGOR_038,81,1231,-100.0,0.0
BTC_RIGOR_039,83,1183,-100.0,0.0
BTC_RIGOR_023,51,2487,-100.0,0.0
BTC_RIGOR_041,87,1068,-100.0,0.0
BTC_RIGOR_042,89,1025,-100.0,0.0
BTC_RIGOR_043,91,978,-100.0,0.0
BTC_RIGOR_024,53,2362,-100.0,0.0
BTC_RIGOR_015,35,3612,-100.0,0.0
BTC_RIGOR_022,49,2616,-100.0,0.0
BTC_RIGOR_021,47,2742,-100.0,0.0
BTC_RIGOR_002,9,6266,-100.0,0.0
BTC_RIGOR_003,11,6047,-100.0,0.0
BTC_RIGOR_004,13,5819,-100.0,0.0
BTC_RIGOR_005,15,5618,-100.0,0.0
BTC_RIGOR_006,17,5418,-100.0,0.0
BTC_RIGOR_007,19,5195,-100.0,0.0
BTC_RIGOR_008,21,4986,-100.0,0.0
BTC_RIGOR_009,23,4759,-100.0,0.0
BTC_RIGOR_010,25,4557,-100.0,0.0
BTC_RIGOR_011,27,4356,-100.0,0.0
BTC_RIGOR_012,29,4170,-100.0,0.0
BTC_RIGOR_013,31,3983,-100.0,0.0
BTC_RIGOR_014,33,3799,-100.0,0.0
BTC_RIGOR_045,95,899,-100.0,0.0
BTC_RIGOR_016,37,3451,-100.0,0.0
BTC_RIGOR_017,39,3304,-100.0,0.0
BTC_RIGOR_018,41,3159,-100.0,0.0
BTC_RIGOR_019,43,3024,-100.0,0.0
BTC_RIGOR_020,45,2874,-100.0,0.0
BTC_RIGOR_044,93,939,-100.0,0.0
BTC_RIGOR_054,113,620,-100.0,0.0
BTC_RIGOR_046,97,853,-100.0,0.0
BTC_RIGOR_070,145,345,-100.0,0.0
BTC_RIGOR_072,149,310,-100.0,0.0
BTC_RIGOR_073,151,295,-100.0,0.0
BTC_RIGOR_074,153,284,-100.0,0.0
BTC_RIGOR_075,155,274,-100.0,0.0
BTC_RIGOR_076,157,264,-100.0,0.0
BTC_RIGOR_077,159,254,-100.0,0.0
BTC_RIGOR_078,161,245,-100.0,0.0
BTC_RIGOR_079,163,236,-100.0,0.0
BTC_RIGOR_080,165,229,-100.0,0.0
BTC_RIGOR_081,167,217,-100.0,0.01
BTC_RIGOR_082,169,204,-100.0,0.01
BTC_RIGOR_083,171,192,-100.0,0.02
BTC_RIGOR_084,173,189,-100.0,0.01
BTC_RIGOR_085,175,181,-100.0,0.01
BTC_RIGOR_086,177,175,-100.0,0.01
BTC_RIGOR_087,179,169,-100.0,0.01
BTC_RIGOR_088,181,165,-100.0,0.01
BTC_RIGOR_089,183,156,-100.0,0.02
BTC_RIGOR_001,7,6473,-100.0,0.0
BTC_RIGOR_071,147,324,-100.0,0.0
BTC_RIGOR_069,143,353,-100.0,0.0
BTC_RIGOR_047,99,819,-100.0,0.0
BTC_RIGOR_068,141,366,-100.0,0.0
BTC_RIGOR_048,101,798,-100.0,0.0
BTC_RIGOR_049,103,753,-100.0,0.0
BTC_RIGOR_050,105,721,-100.0,0.0
BTC_RIGOR_051,107,689,-100.0,0.0
BTC_RIGOR_052,109,660,-100.0,0.0
BTC_RIGOR_053,111,637,-100.0,0.0
BTC_RIGOR_055,115,594,-100.0,0.0
BTC_RIGOR_056,117,577,-100.0,0.0
BTC_RIGOR_057,119,555,-100.0,0.0
BTC_RIGOR_058,121,532,-100.0,0.0
BTC_RIGOR_059,123,515,-100.0,0.0
BTC_RIGOR_060,125,504,-100.0,0.0
BTC_RIGOR_061,127,480,-100.0,0.0
BTC_RIGOR_062,129,467,-100.0,0.0
BTC_RIGOR_063,131,451,-100.0,0.0
BTC_RIGOR_064,133,428,-100.0,0.0
BTC_RIGOR_065,135,415,-100.0,0.0
BTC_RIGOR_066,137,398,-100.0,0.0
BTC_RIGOR_067,139,381,-100.0,0.0
BTC_RIGOR_000,5,6710,-100.0,0.0
